place_id,name,rating,latitude,longitude,vicinity
ChIJDfdKCw_HwoARMjiZYk66QJs,El Majahual Pupuseria,4.1,34.0698276,-118.2661773,"1925 W Temple St, Los Angeles"
ChIJwZTWFa24woARy-kAULo-Ziw,El Jacalito Restaurant,4.6,34.0911391,-118.309356,"1109 N Western Ave, Los Angeles"
ChIJDYTCYZ_HwoARugaya6rMDSQ,El Guanaco Restaurant,3.8,34.0563546,-118.2760169,"2015 7th St, Los Angeles"
ChIJ78ITV6C4woARpemEiIpk-1Q,El Chavocho Sports Bar,4.0,34.0764151,-118.3019344,"4273 Beverly Blvd, Los Angeles"
ChIJ4_FpkmPHwoARROxoHndURyQ,Las Tunas Restaurant,3.9,34.0692276,-118.2943835,"3603 W 3rd St, Los Angeles"
ChIJjTdhMGLHwoARa33eWO8Mvps,Las Cabañas de San Pedro Restaurant,4.2,34.0691627,-118.2971755,"3713 W 3rd St, Los Angeles"
ChIJZcN5KVXHwoARl6EdTBAnbIg,Sabor Latino's,4.2,34.0952351,-118.2964464,"4908 Fountain Ave, Los Angeles"
ChIJA-mNmbqVwoARjLAd64fYdGk,Pupuseria & Restaurant Las Isletas,4.6,34.194318,-118.3880177,"6801 Lankershim Blvd, North Hollywood"
ChIJexTKh4iWwoAR1k2SOidmmCA,Restaurant Salvadoreno El,3.3,34.1935227,-118.4055682,"12500 Vanowen St, Valley Glen"
ChIJxzYmw7K4woARVIn3jauvC1I,El Guanaco Restaurant,4.3,34.0903427,-118.3133274,"5656 Santa Monica Blvd, Los Angeles"
ChIJcf_zvNCVwoARTiVzTNaPKuE,Mi Carbonero #1,4.0,34.1864385,-118.3858566,"11644 Victory Blvd, North Hollywood"
ChIJpRTKh4iWwoARcYLSRefL5ys,Mi Carbonero #3,3.7,34.19354,-118.405537,"12500 Vanowen St, North Hollywood"
ChIJTS30RWuRwoARn6al-QAXurU,El Pulgarcito Corp,3.9,34.2640399,-118.4016108,"10707 Glenoaks Blvd, Pacoima"
ChIJDYghPcyVwoARWs1SSvgREGU,Flor de Izote,4.1,34.1935868,-118.3771603,"11304 Vanowen St, North Hollywood"
ChIJj1wltKGWwoARLtVy0MGlYSc,Sabrositas Pupusas,3.9,34.2155953,-118.3961066,"7950 Laurel Canyon Blvd, North Hollywood"
ChIJ77JiUkmXwoARqSR1-6xkM6g,Pupusas y Antojitos Zavala,5.0,34.19409,-118.40436,"12441 Vanowen St, North Hollywood"
