place_id,name,rating,latitude,longitude,vicinity
ChIJh_PabsLOwoARnWgUdqVCn30,Las Chinamas Restaurante Y Pupuseria,4.2,33.9872935,-118.183551,"4537 Slauson Ave, Maywood"
ChIJ7xbCliPIwoARRojhPNPFu1Y,Pupuseria Jutiapa,4.2,33.99038100000001,-118.2916462,"5701 S Vermont Ave, Los Angeles"
ChIJ3X7ImMzJwoARtRysYqN_-gY,Panderia & Pupuseria Ilobasco,4.1,33.974942,-118.2821714,"455 W Florence Ave, Los Angeles"
ChIJR1DHEaHJwoAREYibP4Of-RA,Pupuseria La Libertad,4.2,33.9655263,-118.2566433,"8101 S Central Ave, Los Angeles"
ChIJAz9ETd-3woARiHekf30dOHg,Reina’s Restaurant & Pupusería,4.1,33.9874056,-118.3004082,"5901 Normandie Ave, Los Angeles"
ChIJJa9uG9e5woARZn5TXt7vb0Q,La Cabañita Restaurant y Pupuseria,4.5,34.0231707,-118.300099,"3564 Normandie Ave #3429, Los Angeles"
ChIJLWNpv7fJwoARz1Wz5onKjA0,Las Champas Pupuseria #4,3.7,33.9789327,-118.2249763,"6608A Pacific Blvd, Huntington Park"
ChIJo0u95RLHwoARwVcKnSOCdEQ,Pupuseria y Panederia Atecosol,4.3,34.0726106,-118.2740876,"2523 W Temple St, Los Angeles"
ChIJ9aG3cIbHwoARDlbZjsutReg,Restaurante Conchita,4.2,34.0471351,-118.2939924,"2580 W Pico Blvd, Los Angeles"
ChIJxTkRqcXHwoARhBv-a22_m8U,RESTAURANT Y PUPUSERIA EMANUEL,5.0,34.0692925,-118.2932889,"3555 W 3rd St, Los Angeles"
ChIJAVR6fbPPwoARoF4E9VKYooI,LA Pupuseria EL Pepeto,4.3,34.0132562,-118.1415898,"6071 E Olympic Blvd, Los Angeles"
ChIJqX-Yk0vGwoARrZJbkvesnxo,Sarita's Pupuseria,3.7,34.051052,-118.2493274,"317 S Broadway E5, Los Angeles"
ChIJQY6FKWfJwoARKislq0FUcDM,Sylvia's Pupusería,4.5,33.9932139,-118.2650394,"5400 Avalon Blvd, Los Angeles"
ChIJDcs2A-DIwoARD_cWYzdH8UE,Pupuseria And Flor Blanca Restaurant # 4,4.2,33.9895802,-118.2299763,"2403 Slauson Ave, Huntington Park"
ChIJfXvRiQnPwoARqTg3e7I3rAc,El Zunzal Pupuseria #2,4.1,33.9718214,-118.1639053,"6634 Eastern Ave, Bell Gardens"
ChIJCWP11wjJwoARBpW8N95rRsw,Las Champas Restaurant,3.8,33.9722656,-118.2475116,"7508 Compton Ave, Los Angeles"
ChIJDfdKCw_HwoARMjiZYk66QJs,El Majahual Pupuseria,4.1,34.0698276,-118.2661773,"1925 W Temple St, Los Angeles"
ChIJf78r1d23woARYpwShsZ8sDk,El Sancho Mexican Food,4.2,33.9884548,-118.3049119,"1600 W Slauson Ave, Los Angeles"
